,furnizare bluza de protectie tip geaca,"ADP Parcaje Sector 6, Aleea Bistra 1, București, Romania",44.4259035,26.0484108,GARDENIA SERV,2015-07-21,,7468.76,EURO,0,13817,35113490-0,DA7081242,ADMINISTRATIA DOMENIULUI PUBLIC SI DEZVOLTARE URBANA SECTOR 6
,furnizare seminte gazon,"ADP Parcaje Sector 6, Aleea Bistra 1, București, Romania",44.4259035,26.0484108,AGROCOSM CONSULT SRL,2015-09-24,,7351.8,EURO,0,10036,03117200-6,DA7327901,ADMINISTRATIA DOMENIULUI PUBLIC SI DEZVOLTARE URBANA SECTOR 6
,furnizare banca,"ADP Parcaje Sector 6, Aleea Bistra 1, București, Romania",44.4259035,26.0484108,SC CROMA RBC GROUP,2015-09-02,,6091.92,EURO,0,14671,39113600-3,DA7235528,ADMINISTRATIA DOMENIULUI PUBLIC SI DEZVOLTARE URBANA SECTOR 6
,furnizare pantalon cu pieptar,"ADP Parcaje Sector 6, Aleea Bistra 1, București, Romania",44.4259035,26.0484108,GARDENIA SERV,2015-07-21,,5975.02,EURO,0,13815,35113470-4,DA7081269,ADMINISTRATIA DOMENIULUI PUBLIC SI DEZVOLTARE URBANA SECTOR 6
,furnizare pietris de rau,"ADP Parcaje Sector 6, Aleea Bistra 1, București, Romania",44.4259035,26.0484108,DIPA SRL,2015-07-07,,4183.5,EURO,0,10333,14212120-7,DA7029505,ADMINISTRATIA DOMENIULUI PUBLIC SI DEZVOLTARE URBANA SECTOR 6
,furnizare pietris de rau,"ADP Parcaje Sector 6, Aleea Bistra 1, București, Romania",44.4259035,26.0484108,DIPA SRL,2015-07-07,,4183.5,EURO,0,10333,14212120-7,DA7029522,ADMINISTRATIA DOMENIULUI PUBLIC SI DEZVOLTARE URBANA SECTOR 6
,furnizare tricou,"ADP Parcaje Sector 6, Aleea Bistra 1, București, Romania",44.4259035,26.0484108,GARDENIA SERV,2015-07-21,,3983.36,EURO,0,11054,18331000-8,DA7081254,ADMINISTRATIA DOMENIULUI PUBLIC SI DEZVOLTARE URBANA SECTOR 6
,furnizare saci plastic,"ADP Parcaje Sector 6, Aleea Bistra 1, București, Romania",44.4259035,26.0484108,EXPERT DEZVOLTING S. R. L.,2015-09-02,,3927,EURO,0,11273,19640000-4,DA7229152,ADMINISTRATIA DOMENIULUI PUBLIC SI DEZVOLTARE URBANA SECTOR 6
,furnizare plasa bordurata,"ADP Parcaje Sector 6, Aleea Bistra 1, București, Romania",44.4259035,26.0484108,APROMA IMPEX SRL,2015-07-21,,3496.74,EURO,0,16053,44313000-7,DA7080509,ADMINISTRATIA DOMENIULUI PUBLIC SI DEZVOLTARE URBANA SECTOR 6
,furnizare plasa bordurata,"ADP Parcaje Sector 6, Aleea Bistra 1, București, Romania",44.4259035,26.0484108,APROMA IMPEX SRL,2015-07-21,,3451.48,EURO,0,16053,44313000-7,DA7080499,ADMINISTRATIA DOMENIULUI PUBLIC SI DEZVOLTARE URBANA SECTOR 6
